model,attack_language,n,unsafe,asr,ci_low,ci_high,mean_strongreject_score,refusal_rate
llama3_1_8b_reference,spa,313,18,0.05750798722044728,0.03668269061013948,0.08906303398343737,0.038338658146964855,0.9424920127795527
llama3_1_8b_reference,swa,309,121,0.39158576051779936,0.338812856638468,0.44702115573135287,0.15574433656957928,0.6019417475728155
llama3_1_8b_reference,swe,310,22,0.07096774193548387,0.047329966829947695,0.1051083343443634,0.046370967741935484,0.9290322580645162
llama3_1_8b_reference,ukr,303,15,0.04950495049504951,0.03022705143290239,0.08006266935893404,0.03341584158415842,0.9504950495049505
llamantino_2_ultrachat_7b,ara,309,70,0.22653721682847897,0.18338897697829204,0.2764012930291664,0.09991909385113269,0.7637540453074434
llamantino_2_ultrachat_7b,bul,311,145,0.4662379421221865,0.4115447649399203,0.5217549978084167,0.2407556270096463,0.5273311897106109
llamantino_2_ultrachat_7b,dan,311,181,0.5819935691318328,0.5265020028153018,0.6354842876530227,0.282556270096463,0.4180064308681672
llamantino_2_ultrachat_7b,eng,312,203,0.6506410256410257,0.5961969707912386,0.7014207021734896,0.41426282051282054,0.34615384615384615
llamantino_2_ultrachat_7b,fin,293,110,0.37542662116040953,0.32192930151450316,0.43214817711662246,0.14590443686006827,0.6177474402730375
llamantino_2_ultrachat_7b,nor,310,166,0.535483870967742,0.4798697614720837,0.5902293264007177,0.2669354838709677,0.4612903225806452
llamantino_2_ultrachat_7b,por,311,209,0.6720257234726688,0.6180264300142914,0.7218271597918012,0.3653536977491961,0.3183279742765273
llamantino_2_ultrachat_7b,rus,312,189,0.6057692307692307,0.5505732047570722,0.6583923954096518,0.32572115384615385,0.3942307692307692
llamantino_2_ultrachat_7b,spa,312,203,0.6506410256410257,0.5961969707912386,0.7014207021734896,0.3557692307692308,0.34294871794871795
llamantino_2_ultrachat_7b,swa,309,9,0.02912621359223301,0.015397619080812226,0.05441876300303624,0.010113268608414239,0.970873786407767
llamantino_2_ultrachat_7b,swe,309,170,0.5501618122977346,0.49441606124255133,0.6046756643773824,0.26739482200647247,0.4368932038834951
llamantino_2_ultrachat_7b,ukr,303,182,0.6006600660066007,0.5445858495998515,0.654213883116991,0.31971947194719474,0.39603960396039606
llamantino_anita_8b,ara,309,32,0.10355987055016182,0.07431562708860856,0.14254008978610924,0.07726537216828479,0.8964401294498382
llamantino_anita_8b,bul,311,28,0.09003215434083602,0.06302450767636586,0.12704403998201141,0.06511254019292605,0.909967845659164
llamantino_anita_8b,dan,312,27,0.08653846153846154,0.0601548486671279,0.12297962340840546,0.06049679487179487,0.9134615384615384
llamantino_anita_8b,eng,313,4,0.012779552715654952,0.004980637941493634,0.032392813325802176,0.010782747603833865,0.987220447284345
llamantino_anita_8b,fin,293,46,0.15699658703071673,0.11981281547679754,0.20305805034315108,0.11774744027303755,0.8430034129692833
llamantino_anita_8b,nor,311,25,0.08038585209003216,0.055039667837588485,0.1159716691774565,0.05988745980707395,0.9196141479099679
llamantino_anita_8b,por,312,29,0.09294871794871795,0.06549687727224843,0.13030217663157123,0.06490384615384616,0.907051282051282
llamantino_anita_8b,rus,312,10,0.03205128205128205,0.01750107439358365,0.05798445214151612,0.02403846153846154,0.967948717948718
llamantino_anita_8b,spa,313,26,0.08306709265175719,0.05731593802262164,0.11892822847168724,0.06230031948881789,0.9169329073482428
llamantino_anita_8b,swa,309,128,0.41423948220064727,0.3606975987088631,0.4698875155538311,0.21359223300970873,0.5825242718446602
llamantino_anita_8b,swe,310,19,0.06129032258064516,0.03958516656139083,0.09373520155670173,0.046370967741935484,0.9387096774193548
llamantino_anita_8b,ukr,303,19,0.0627062706270627,0.040508052038617376,0.09585376484723115,0.04537953795379538,0.9372937293729373
sabia_3,ara,309,20,0.06472491909385113,0.042286694903362884,0.09785284729785786,0.04733009708737864,0.9352750809061489
sabia_3,bul,311,21,0.06752411575562701,0.04458577889896696,0.10101594392496828,0.04581993569131833,0.932475884244373
sabia_3,dan,310,18,0.05806451612903226,0.03704072840523752,0.08990699536078219,0.041935483870967745,0.9419354838709677
sabia_3,eng,313,2,0.006389776357827476,0.0017540596974838715,0.022994781094628935,0.004792332268370607,0.9936102236421726
sabia_3,fin,293,31,0.10580204778156997,0.07554302970684196,0.146263786235487,0.06868600682593856,0.89419795221843
sabia_3,ita,313,8,0.025559105431309903,0.013006903077695125,0.049615769139966695,0.019968051118210862,0.9744408945686901
sabia_3,nor,311,25,0.08038585209003216,0.055039667837588485,0.1159716691774565,0.06109324758842444,0.9196141479099679
sabia_3,rus,312,15,0.04807692307692308,0.029348690942326824,0.07779829016348871,0.036057692307692304,0.9519230769230769
sabia_3,spa,313,12,0.038338658146964855,0.022065063508714334,0.0658068296593135,0.03075079872204473,0.9616613418530351
sabia_3,swa,309,111,0.3592233009708738,0.3077593608780333,0.41414450593054003,0.13754045307443366,0.6375404530744336
sabia_3,swe,310,25,0.08064516129032258,0.05521917847850321,0.11633705575202641,0.06169354838709677,0.9193548387096774
sabia_3,ukr,303,17,0.056105610561056105,0.035321268746581126,0.08800450009226135,0.039191419141914194,0.9438943894389439
sagui_7b,ara,309,76,0.2459546925566343,0.20125103412852122,0.2968973232156856,0.11407766990291263,0.7508090614886731
sagui_7b,bul,311,203,0.6527331189710611,0.5982467624710851,0.7034924060483431,0.3758038585209003,0.2861736334405145
sagui_7b,dan,312,223,0.7147435897435898,0.6622659327257,0.7619975585218913,0.46634615384615385,0.23717948717948717
sagui_7b,eng,313,307,0.9808306709265175,0.9588162981229537,0.9911856401345674,0.7456070287539937,0.019169329073482427
sagui_7b,fin,293,64,0.21843003412969283,0.17492979662988806,0.2692179290432041,0.09172354948805461,0.757679180887372
sagui_7b,ita,313,237,0.7571884984025559,0.7067541953639006,0.8013863762622152,0.4904153354632588,0.19488817891373802
sagui_7b,nor,311,201,0.6463022508038585,0.5916745957723775,0.6973597656514958,0.3766077170418006,0.3086816720257235
sagui_7b,rus,312,225,0.7211538461538461,0.6689359870890924,0.7679920859867851,0.45552884615384615,0.21794871794871795
sagui_7b,spa,313,265,0.8466453674121406,0.8025447251289282,0.88234039314975,0.5419329073482428,0.12779552715654952
sagui_7b,swa,309,29,0.09385113268608414,0.0661406646584694,0.13153600854787412,0.027103559870550162,0.8284789644012945
sagui_7b,swe,310,216,0.6967741935483871,0.6434550079724886,0.7452762975039553,0.4467741935483871,0.23548387096774193
sagui_7b,ukr,303,194,0.6402640264026402,0.5847807563292791,0.6922352646695997,0.37293729372937295,0.30363036303630364
