model,attack_language,n,mean_token_inflation,mean_tokens_per_char,truncation_risk_rate
llama3_1_8b_reference,ita,313,1.244519385583965,0.5584186794297334,0.0
llama3_1_8b_reference,nor,311,1.2668172317095208,0.6088843836113929,0.0
llama3_1_8b_reference,por,312,1.1988442121387517,0.5555639621780586,0.0
llama3_1_8b_reference,rus,312,1.2538574837937746,0.5817811280654346,0.0
llama3_1_8b_reference,spa,313,1.1934749209234243,0.5330382887976477,0.0
llama3_1_8b_reference,swa,309,1.446695633804213,0.6625800211984699,0.0
llama3_1_8b_reference,swe,310,1.2566056476806853,0.6190577843843025,0.0
llama3_1_8b_reference,ukr,303,1.295286333835329,0.6193204411986322,0.0
llamantino_2_ultrachat_7b,ara,309,1.2893221976336222,2.729017187452358,0.0
llamantino_2_ultrachat_7b,bul,311,1.0588683816218385,1.8569290950609905,0.0
llamantino_2_ultrachat_7b,dan,311,1.026272112526776,1.7877356806802467,0.0
llamantino_2_ultrachat_7b,eng,312,0.9361294779546379,1.7609957727549705,0.0
llamantino_2_ultrachat_7b,fin,293,1.062320830804331,1.9260516661742224,0.0
llamantino_2_ultrachat_7b,ita,313,1.0,1.6566840723155285,0.0
llamantino_2_ultrachat_7b,nor,310,1.0239195539878954,1.8113084217634945,0.0
llamantino_2_ultrachat_7b,por,311,1.0017817757593819,1.7101700457344153,0.0
llamantino_2_ultrachat_7b,rus,312,1.0331827819403554,1.7609788429798396,0.0
llamantino_2_ultrachat_7b,spa,312,1.0023025536239167,1.6494802177714616,0.0
llamantino_2_ultrachat_7b,swa,309,1.0774613094868204,1.8196338074065916,0.0
llamantino_2_ultrachat_7b,swe,309,1.0102218331080701,1.8433268498380306,0.0
llamantino_2_ultrachat_7b,ukr,303,1.0506840378284963,1.8432180304156809,0.0
llamantino_anita_8b,ara,309,1.0269025938747343,0.4867041050202616,0.0
llamantino_anita_8b,bul,311,1.2564688903576628,0.47769658836855333,0.0
llamantino_anita_8b,dan,312,1.0560340567774336,0.3996402869919446,0.0
llamantino_anita_8b,eng,313,0.7171856373235507,0.2895943391536049,0.0
llamantino_anita_8b,fin,293,1.196788623100129,0.46948749819559205,0.0
llamantino_anita_8b,ita,313,1.0,0.35986635924074933,0.0
llamantino_anita_8b,nor,311,1.0338506466729513,0.39640186742974076,0.0
llamantino_anita_8b,por,312,0.9490890086429041,0.35110003531904616,0.0
llamantino_anita_8b,rus,312,1.0162965991024897,0.3764515481603187,0.0
llamantino_anita_8b,spa,313,0.9437645937364061,0.33617591277206604,0.0
