start_time,end_time,start_time_iso,end_time_iso,num_model_requests,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1778031960,1778032020,2026-05-06T01:46:00+00:00,2026-05-06T01:47:00+00:00,,,,,,,,,,,,,,,,,
1778032020,1778032080,2026-05-06T01:47:00+00:00,2026-05-06T01:48:00+00:00,,,,,,,,,,,,,,,,,
1778032080,1778032140,2026-05-06T01:48:00+00:00,2026-05-06T01:49:00+00:00,,,,,,,,,,,,,,,,,
1778032140,1778032200,2026-05-06T01:49:00+00:00,2026-05-06T01:50:00+00:00,,,,,,,,,,,,,,,,,
1778032200,1778032260,2026-05-06T01:50:00+00:00,2026-05-06T01:51:00+00:00,,,,,,,,,,,,,,,,,
1778032260,1778032320,2026-05-06T01:51:00+00:00,2026-05-06T01:52:00+00:00,,,,,,,,,,,,,,,,,
1778032320,1778032380,2026-05-06T01:52:00+00:00,2026-05-06T01:53:00+00:00,,,,,,,,,,,,,,,,,
1778032380,1778032440,2026-05-06T01:53:00+00:00,2026-05-06T01:54:00+00:00,,,,,,,,,,,,,,,,,
1778032440,1778032500,2026-05-06T01:54:00+00:00,2026-05-06T01:55:00+00:00,,,,,,,,,,,,,,,,,
1778032500,1778032560,2026-05-06T01:55:00+00:00,2026-05-06T01:56:00+00:00,,,,,,,,,,,,,,,,,
1778032560,1778032620,2026-05-06T01:56:00+00:00,2026-05-06T01:57:00+00:00,,,,,,,,,,,,,,,,,
1778032620,1778032680,2026-05-06T01:57:00+00:00,2026-05-06T01:58:00+00:00,,,,,,,,,,,,,,,,,
1778032680,1778032740,2026-05-06T01:58:00+00:00,2026-05-06T01:59:00+00:00,,,,,,,,,,,,,,,,,
1778032740,1778032800,2026-05-06T01:59:00+00:00,2026-05-06T02:00:00+00:00,,,,,,,,,,,,,,,,,
1778032800,1778032860,2026-05-06T02:00:00+00:00,2026-05-06T02:01:00+00:00,,,,,,,,,,,,,,,,,
1778032860,1778032920,2026-05-06T02:01:00+00:00,2026-05-06T02:02:00+00:00,,,,,,,,,,,,,,,,,
1778032920,1778032980,2026-05-06T02:02:00+00:00,2026-05-06T02:03:00+00:00,,,,,,,,,,,,,,,,,
1778032980,1778033040,2026-05-06T02:03:00+00:00,2026-05-06T02:04:00+00:00,,,,,,,,,,,,,,,,,
1778033040,1778033100,2026-05-06T02:04:00+00:00,2026-05-06T02:05:00+00:00,,,,,,,,,,,,,,,,,
1778033100,1778033160,2026-05-06T02:05:00+00:00,2026-05-06T02:06:00+00:00,,,,,,,,,,,,,,,,,
1778033160,1778033220,2026-05-06T02:06:00+00:00,2026-05-06T02:07:00+00:00,,,,,,,,,,,,,,,,,
1778033220,1778033280,2026-05-06T02:07:00+00:00,2026-05-06T02:08:00+00:00,,,,,,,,,,,,,,,,,
1778033280,1778033340,2026-05-06T02:08:00+00:00,2026-05-06T02:09:00+00:00,,,,,,,,,,,,,,,,,
1778033340,1778033400,2026-05-06T02:09:00+00:00,2026-05-06T02:10:00+00:00,,,,,,,,,,,,,,,,,
1778033400,1778033460,2026-05-06T02:10:00+00:00,2026-05-06T02:11:00+00:00,2.0,gpt-5.4-2026-03-05,False,incentivized-tier,1900.0,391.0,0.0,1900.0,1900.0,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778033460,1778033520,2026-05-06T02:11:00+00:00,2026-05-06T02:12:00+00:00,12.0,gpt-5.4-2026-03-05,False,incentivized-tier,8862.0,2167.0,0.0,8862.0,8862.0,2167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778033520,1778033580,2026-05-06T02:12:00+00:00,2026-05-06T02:13:00+00:00,15.0,gpt-5.4-2026-03-05,False,incentivized-tier,11297.0,2802.0,0.0,11297.0,11297.0,2802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
